資料集名稱,資料集描述,資料集代碼,資料集所屬單位,資料集類別,環境保護計畫類別,聯合國永續發展目標,主要資料欄位,資料來源,授權方式,授權說明網址,編碼格式,更新頻率,最後更新時間,聯絡人姓名,聯絡人電話,聯絡人電子郵件,標籤
管制事業下水道系統環工技師專責人員證號資料資訊平台,管制事業、下水道系統、環工技師、專責人員證號資料,EMPD_P_03,環境部水質保護司,水,流域治理,乾淨水與衛生,releasedate(發布修正日)、titlename(名稱)、description(說明)、url(路徑),水污法相關資訊公開平台,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:35.000000",陳先生,(02)2311-7722#2827,kaichung.chen@moenv.gov.tw,水污染業務環工技師
巡守隊明細資料,提供全國水環境巡守隊所屬行政區域、隊伍人數及巡守流域/河段等資料,EMPD_P_01,環境部水質保護司,水,社會參與,乾淨水與衛生,name(巡守隊名稱)、county(縣市)、total_value(人數)、men_value(男生數)、women_value(女生數)、river(巡守河川),水環境守護網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:35.000000",謝小姐,(02)2311-7722#2836,huiping.hsieh@moenv.gov.tw,"水環境巡守隊,民眾參與,巡守"
經過國家級重要濕地之環境影響評估報告書,環境部審查經過國家級重要濕地之環境影響評估報告書。,EIA_P_76,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:34.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"評估書,重要濕地"
環境影響評估報告書附表五：廢棄物、毒化物,"環境部審查環境影響評估報告書-附表五 開發行為之目的及其內容：廢棄物、毒化物。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_74,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、county(基地位置)、developer(開發單位)、generalwaste_value(一般事業廢棄物[公斤/日])、hazardouswaste_value(有害事業廢棄物[公斤/日])、pollutant(運作物質)、discharge(運作量)、unit(單位),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:34.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"廢棄物,毒化物,環境影響評估報告書,評估書"
環境影響評估案件摘要資料,全國環境影響評估案件摘要(環境影響評估指開發行為或政府政策對環境包括生活環境、自然環境、社會環境及經濟、文化、生態等可能影響之程度及範圍，事前以科學、客觀、綜合之調查、預測、分析及評定，提出環境管理計畫，並公開說明及審查)。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_S_01,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,Title(案件名稱)、Developer(開發單位)、DocDate(書件日期)、AdminOrg(管理單位)、DocNo(書件編號)、SensiArea(敏感區位)、SensiState(是否經過敏感區位)、ProDoc(證明文件)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:34.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環境影響評估,環評"
環境影響評估報告書附表五：水量、水質,"環境部審查環境影響評估報告書-附表五 開發行為之目的及其內容：水量、水質。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_73,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、county(基地位置)、developer(開發單位)、consumption_value(用水量)、recoveryrate_value(用水回收率[%])、sewagegen_value(廢[污]水產生量)、totdischarge_value(排放量)、waterItem_value(水質項目)、limitMin_value(限值[起])、limitMax_value(限值[迄])、limitunit(單位)、discharge_value(排放總量)、discharge_valueunit(單位),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:33.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"水量,水質,環境影響評估報告書,評估書"
環境影響評估報告書附表五：空氣,"環境部審查環境影響評估報告書-附表五 開發行為之目的及其內容：空氣。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_72,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、county(基地位置)、developer(開發單位)、pollutant(污染物名稱)、limit_ppm_value(限值[ppm])、limit_mg_value(限值[mg/m3])、discharge_value(排放總量)、deduction_value(抵減量)、unit(單位),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:33.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"空氣,環境影響評估報告書,評估書"
環境影響說明書附表五：水量、水質,"環境部審查環境影響說明書-附表五 開發行為之目的及其內容：水量、水質。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_69,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、county(基地位置)、developer(開發單位)、consumption_value(用水量)、recoveryrate_value(用水回收率[%])、sewagegen_value(廢[污]水產生量)、totdischarge_value(排放量)、waterItem(水質項目)、limitmin_value(限值[起])、limitmax_value(限值[迄])、limitunit(單位)、discharge_value(排放總量)、dischargeunit(單位),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:32.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"水量,水質,環境影響說明書,環說書"
環境影響評估報告書附表五：施工階段,"環境部審查環境影響評估報告書-附表五 開發行為之目的及其內容：施工階段。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_71,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、baseloc(基地位置)、developer(開發單位)、period_date(施工期限)、protection(環保措施)、earthmove_value(土方挖方量[m3])、earthfill_value(土方填方量[m3])、earthwork_value(借[棄]土方量[m3]),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:32.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"施工階段,環境影響評估報告書,評估書"
環境影響說明書附表五：廢棄物、毒化物,"環境部審查環境影響說明書-附表五 開發行為之目的及其內容：廢棄物、毒化物。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_70,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、county(基地位置)、developer(開發單位)、generalwaste_value(一般事業廢棄物[公斤/日])、hazardouswaste_value(有害事業廢棄物[公斤/日])、pollutant(運作物質)、discharge_value(運作量)、unit(單位),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:32.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"廢棄物,毒化物,環境影響說明書,環說書"
環境影響說明書附表五：施工階段,"環境部審查環境影響說明書-附表五 開發行為之目的及其內容：施工階段。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_67,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、baseloc(基地位置)、developer(開發單位)、period_date(施工期限)、earthmove_value(土方挖方量[m3])、earthfill_value(土方填方量[m3])、earthwork_value(借[棄]土方量[m3]),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:31.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"施工階段,環境影響說明書,環說書"
環境影響說明書附表五：空氣,"環境部審查環境影響說明書-附表五 開發行為之目的及其內容：空氣。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/)",EIA_P_68,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,docno(案號)、title(書件名稱)、county(基地位置)、developer(開發單位)、pollutant(污染物名稱)、limit_ppm_value(限值[ppm])、limit_mg_value(限值[mg/m3])、discharge_value(排放總量)、deduction_value(抵減量)、unit(單位),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:31.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"空氣,環境影響說明書,環說書"
環境部環境影響評估審查委員會簡報資料,環境部環境影響評估審查委員會簡報資料。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_66,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,Commeet(環評委員會次別)、Title(標題)、FileDate(更新日期)、FileName(檔名)、FileLink(檔案連結),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:30.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環評委員會,環評簡報"
環境影響評估報告書環境敏感區位調查表,環境部審查環境影響評估報告書有經過的環境敏感區位。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_65,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、Title(書件名稱)、BaseLoc(基地位置)、Developer(開發單位)、SensiArea(敏感區位)、SensiState(是否經過)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:30.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環境敏感區,區位調查表,環境影響評估報告書,評估書"
環境影響說明書環境敏感區位調查表,環境部審查環境影響說明書有經過的環境敏感區位。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_64,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、Title(書件名稱)、BaseLoc(基地位置)、Developer(開發單位)、SensiArea(敏感區位)、SensiState(是否經過)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:30.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"環境敏感區,區位調查表,環境影響說明書,環說書"
位於野生動物保護或棲息區之環境影響評估報告書件,環境部審查位於野生動物保護或棲息區之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_61,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:29.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"野生動物保護區,野生動物棲息區,環境影響評估報告書,評估書"
經過山坡地之環境影響評估報告書件,環境部審查經過山坡地之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_62,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:29.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"山坡地,環境影響評估報告書,評估書"
經過水庫集水區之環境影響評估報告書件,環境部審查經過水庫集水區之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_59,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:28.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"水庫集水區,環境影響評估報告書,評估書"
經過地質敏感區之環境影響評估報告書件,環境部審查經過地質敏感區之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_60,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:28.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"地質敏感區,環境影響評估報告書,評估書"
經過飲用水水源水質保護區之環境影響評估報告書,環境部審查經過飲用水水源水質保護區之環境影響評估報告書。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_58,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:28.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"飲用水水源水質保護區,環境影響評估報告書,評估書"
經過國家公園區之環境影響評估報告書件,環境部審查經過國家公園區之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_56,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:27.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"國家公園,環境影響評估報告書,評估書"
經過海岸保護區之環境影響評估報告書件,環境部審查經過海岸保護區之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_57,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:27.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"海岸保護區,環境影響評估報告書,評估書"
經過水土保持區之環境影響評估報告書件,環境部審查經過水土保持區之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_55,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:26.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"水土保持,環境影響評估報告書,評估書"
經過活動斷層範圍之環境影響評估報告書件,環境部審查經過活動斷層範圍之環境影響評估報告書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_54,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:26.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"活動斷層,環境影響評估報告書,評估書"
經過國家級重要濕地之環境影響說明書件,環境部審查經過國家級重要濕地之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_53,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:25.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"重要濕地,環境影響說明書,環說書"
經過山坡地之環境影響說明書件,環境部審查經過山坡地之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_52,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:25.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"山坡地,環境影響說明書,環說書"
位於野生動物保護或棲息區之環境影響說明書件,環境部審查位於野生動物保護或棲息區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_51,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:25.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"野生動物保護區,野生動物棲息區,環境影響說明書,環說書"
經過水庫集水區之環境影響說明書件,環境部審查經過水庫集水區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_49,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:24.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"水庫集水區,環境影響說明書,環說書"
經過地質敏感區之環境影響說明書件,環境部審查經過地質敏感區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_50,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:24.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"地質敏感區,環境影響說明書,環說書"
經過飲用水水源水質保護區之環境影響說明書件,環境部審查經過飲用水水源水質保護區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_48,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:23.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"飲用水水源水質保護區,環境影響說明書,環說書"
經過國家公園區之環境影響說明書件,環境部審查經過國家公園區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_46,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:23.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"國家公園,環境影響說明書,環說書"
經過海岸保護區之環境影響說明書件,環境部審查經過海岸保護區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_47,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:23.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"海岸保護區,環境影響說明書,環說書"
經過水土保持區之環境影響說明書件,環境部審查經過水土保持區之環境影響說明書件。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_45,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:22.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"水保,水土保持,環境影響說明書,環說書"
大眾捷運系統之開發類別環境影響評估報告書,大眾捷運系統之開發類別環境影響評估報告書。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_44,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:22.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"捷運,環境影響評估報告書,評估書"
能源或輸變電工程之開發類別環境影響評估報告書,能源或輸變電工程之開發類別環境影響評估報告書。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_42,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:21.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"能源,輸變電工程,環境影響評估報告書,評估書"
旅館或觀光旅館之興建或擴建類別環境影響評估報告書,旅館或觀光旅館之興建或擴建類別環境影響評估報告書。(資料來源網址：https://eiadoc.epa.gov.tw/eiaweb/),EIA_P_43,環境部環境保護司,其他,環境影響評估,乾淨水與衛生,DocNo(案號)、ExamOrg(環評主管機關)、BaseLoc(基地位置)、DocType(書件類別)、DevelopType(開發行為類別)、Title(書件名稱)、Developer(開發單位)、AdminOrg(目的事業主管機關)、ExamProgress(審查進度)、SupervisoryAuthorityCode(環評主管機關代碼)、BaseArea(基地面積（公頃）)、PaymentDate(繳費日期),環評書件查詢系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:07:21.000000",黃先生,(02)2311-7722#2742,chengyu.huang@moenv.gov.tw,"旅館,觀光旅館,環境影響評估報告書,評估書"
